Taxon Name	Available at Nursery?	Nurseries	Percent of Nurseries with this Taxon
Ambrosia rugelii	False		0.0
Amelanchier pumila	False		0.0
Amelanchier alnifolia var. pumila	False		0.0
Amelanchier basalticola	False		0.0
Amelanchier cuneata	False		0.0
Amelanchier glabra	False		0.0
Amelanchier polycarpa	False		0.0
Amaranthus retroflexus	False		0.0
Amaranthus retroflexus var. salicifolius	False		0.0
Ammannia robusta	False		0.0
Ammannia coccinea ssp. robusta	False		0.0
Ludwigia scabriuscula	False		0.0
Amsinckia	True	NorthwestMeadowscapes, 	7.69
Amsinckia spectabilis	False		0.0
Amsinckia scouleri	False		0.0
Amsinckia spectabilis var. bracteosa	False		0.0
Amsinckia spectabilis var. microcarpa	False		0.0
Amsinckia spectabilis var. nicolai	False		0.0
Amsinckia spectabilis var. spectabilis	False		0.0
Amsinckia tessellata	False		0.0
Amsinckia tessellata var. tessellata	False		0.0
Amsinckia densirugosa	False		0.0
Amsinckia hendersonii	False		0.0
Amsinckia washingtonensis	False		0.0
Ambrosia trifida	False		0.0
Ambrosia trifida var. trifida	False		0.0
Ambrosia trifida var. integrifolia	False		0.0
Amaranthus tuberculatus	False		0.0
